LocID,PC1,PC2,percent_Pop2020_500m,percent_URBAN_IMPERVIOUS_500m,percent_OPEN_WATER_500m,percent_ROW_CROPS_500m,percent_GRASSLAND_500m,percent_BARREN_SPARSELY_VEGETATED_500m,percent_EVERGREEN_WOODY_VEGETATION_500m,percent_DECIDUOUS_WOODY_VEGETATION_500m,X,Y
1,-2.970369098,0.242609406,0.000440447,0.209447977,0,0,0.228118615,0.009838778,0.046035656,0.506558973,-90.38446361,38.6396176
10,0.132810201,-2.662700475,0.000212562,0.508842315,0.013555586,0,0.329617109,0.012508051,0.005436235,0.130040705,-90.27041918,38.6292732
100,-0.66776863,0.543924654,0.001645899,0.299972377,0,0,0.19055002,0.001788467,0.012971159,0.494717976,-90.33619558,38.58441011
102,-0.963033544,0.921108221,0.001003247,0.236857852,0,0,0.143900949,0,0.001979757,0.617261442,-90.53341254,38.61238873
103,-0.822176758,1.123192902,0.001834262,0.227219381,0,0,0.158002398,0,0.007093923,0.607684298,-90.36155444,38.57026028
105,0.669617659,0.944684352,0.002323056,0.410409583,0,0,0.110797693,0,0.006135414,0.472657309,-90.33633824,38.66192339
106,1.420963068,0.265603629,0.002693397,0.480542243,0,0,0.144838823,0.002137152,0.001370883,0.371110899,-90.31756999,38.60737749
107,0.819639133,-1.846658728,0.001444785,0.492199434,0,0,0.222920783,0.016819334,0.001275484,0.266784965,-90.3650051,38.68823138
108,0.930504473,0.516604452,0.002638754,0.448729503,0,0,0.164884585,0,0.008668556,0.377717357,-90.32409421,38.62421501
109,-1.14244847,-3.010421551,0.000523019,0.309283388,0,0.03192831,0.274374764,0.003649677,0.008276673,0.372487189,-90.06392329,38.88678593
11,2.612418248,1.066847364,0.004376045,0.546757361,0,0,0.072682052,0.001434497,0.004076926,0.375049164,-90.30419196,38.6549095
110,0.842800382,0.436102156,0.002746189,0.398359161,0,0,0.180589011,0.000572919,0.002547578,0.417931331,-90.45477244,38.70466884
112,-2.677186118,0.14966449,0.000937126,0.167545647,0.001627238,0,0.347231913,0,0.033299804,0.450295398,-90.64388703,38.61335043
113,-0.039845598,-0.862215449,0.002049389,0.34725942,0,0,0.356568228,0.000726833,0.004432281,0.291013238,-90.32672688,38.53476594
114,1.178982872,-0.254590007,0.003002686,0.465968713,0,0,0.228225755,0.003580566,0.007708463,0.294516503,-90.33772142,38.56434455
115,-0.653912091,0.487767551,0.001443817,0.270340125,0.008982478,0,0.184147804,0.001056762,0.004397658,0.531075173,-90.57109976,38.63110481
116,1.024137817,0.531750141,0.002244185,0.469943456,0.009737954,0,0.122506002,0.000300413,0.005854229,0.391657947,-90.34777308,38.62155653
118,-0.024003972,0.967134645,0.001642145,0.388966824,0,0,0.114365839,0,0.013135886,0.483531452,-90.40390434,38.59725378
119,-1.900217158,-0.593607317,0.000751153,0.223928938,0,0,0.295569852,0.008107361,0.019368293,0.453025556,-90.51255786,38.66082427
12,2.347096907,0.564515056,0.003235525,0.586803589,0.001372107,0,0.092748325,0.000663143,0.003395901,0.315016935,-90.26582263,38.56988897
121,-0.077533484,-0.813460503,0.001680255,0.385232849,0,0,0.280083249,0.005823611,0.009638554,0.319221736,-90.33676337,38.52304926
123,-1.531789097,1.058388386,0.001023535,0.196836972,0,0,0.165719727,0,0.010911341,0.626531961,-90.45390625,38.56827327
124.1,3.517132446,0.454213441,0.003613601,0.717767485,0,0,0.059565222,0,0,0.222667293,-90.289037,38.584815
124.2,3.643563024,0.473355369,0.003590671,0.737201313,0,0,0.047630806,0,0,0.215167881,-90.28452266,38.58548794
125,-2.30484193,-0.690058024,0.000985343,0.141140885,0.039439195,0,0.312723023,0.00815518,0.019060156,0.479481562,-90.45430732,38.52852448
126,-0.614336796,-0.814872346,0.001350715,0.28988046,0.004682308,0,0.267637586,0.008204861,0.002920396,0.42667439,-90.43676953,38.72506943
127,-0.352798012,0.73098151,0.001487032,0.348215116,0.022745994,0,0.136270986,0,0.012792553,0.479975352,-90.52233862,38.64151723
129,1.843189721,0.179895646,0.002812857,0.5677224,0,0,0.135676448,0.002075914,0.007581987,0.286943252,-90.256165,38.61577146
13,-0.79990437,-0.663226283,0.001113803,0.291570614,0,0,0.335039467,0,0.003954954,0.369434965,-90.37207624,38.52420642
130,-1.858096988,0.885903913,0.001510993,0.188492266,0,0,0.237059177,0,0.023878021,0.550570537,-90.37063481,38.59875528
134,1.355855051,0.255259023,0.001289442,0.606115495,0,0,0.091538942,0,0.009704548,0.292641014,-90.33298607,38.65125172
135,0.364327643,-0.41860516,0.002006396,0.389770436,0.016906687,0,0.26570616,0,0.002919204,0.324697513,-90.4907966,38.51062732
136.1,-2.301508457,1.237567721,0.000460663,0.096792666,0.007038472,0,0.105649611,0.004862412,0.008242304,0.777414536,-90.06479886,38.56769458
136.2,-1.986956463,-1.168887436,0.00027747,0.217220971,0.013421666,0,0.284182927,0.012896,0.014413176,0.457865261,-90.230347,38.687985
138,1.442316235,0.926462974,0.003341221,0.453802691,0,0,0.120684893,6.23694537326845e-05,0.005357409,0.420092638,-90.31177306,38.6539157
14,-0.269288564,0.326338747,0.001428191,0.339508585,0,0,0.196643623,0,0.005607115,0.458240677,-90.32616403,38.67965254
