Species,Genus,Abbreviated_Name,Nesting,Lecty,Sociality,Native,Female.Length,Size
Hylaeus leptocephalus,Hylaeus,H. leptocephalus,Above Ground,Generalist,Solitary,Exotic,5.5,small
Bombus auricomus,Bombus,B. auricomus,Below Ground,Generalist,Social,Native,19,large
Halictus ligatus,Halictus,H. ligatus,Below Ground,Generalist,Social,Native,9,small
Anthidium manicatum,Anthidium,A. manicatum,Above Ground,Generalist,Solitary,Exotic,12,medium 
Anthidium oblongatum,Anthidium,A. oblongatum,Above Ground,Generalist,Solitary,Exotic,9.5,medium 
Bombus pensylvanicus,Bombus,B. pensylvanicus,Above Ground,Generalist,Social,Native,14.5,large
Bombus griseocollis,Bombus,B. griseocollis,Below Ground,Generalist,Social,Native,13.75,large
Bombus impatiens,Bombus,B. impatiens,Below Ground,Generalist,Social,Native,12.25,large
Xylocopa virginica,Xylocopa,X. virginica,Above Ground,Generalist,Semi-Social,Native,21,large
Bombus bimaculatus,Bombus,B. bimaculatus,Below Ground,Generalist,Social,Native,13.5,large
Agapostemon virescens,Agapostemon,A. virescens,Below Ground,Generalist,Semi-Social,Native,11,small
Calliopsis andreniformis,Calliopsis,C. andreniformis,Below Ground,Generalist,Solitary,Native,7,small
Melitoma taurea,Melitoma,M. taurea,Below Ground,Specialist,Semi-Social,Native,11.25,medium 
Ptilothrix bombiformis,Ptilothrix,P. bombiformis,Below Ground,Specialist,Semi-Social,Native,15.25,large
Xenoglossa pruinosa,Xenoglossa,X. pruinosa,Below Ground,Specialist,Semi-Social,Native,13.25,medium 
Stelis louisae,Stelis,S. louisae,Above Ground,Generalist,Kleptoparasitic,Native,8,small
Halictus confusus,Halictus,H. confusus,Below Ground,Generalist,Social,Native,7,small
Megachile xylocopoides,Megachile,M. xylocopoides,Above Ground,Specialist,Solitary,Native,14.5,large
Halictus rubicundus,Halictus,H. rubicundus,Below Ground,Generalist,Social,Native,10.5,small
Triepeolus lunatus,Triepeolus,T. lunatus,Below Ground,Generalist,Kleptoparasitic,Native,11,small
Melissodes bimaculatus,Melissodes,M. bimaculatus,Below Ground,Generalist,Solitary,Native,14,large
Hylaeus modestus,Hylaeus,H. modestus,Above Ground,Generalist,Solitary,Native,6,small
Megachile campanulae,Megachile,M. campanulae,Above Ground,Generalist,Solitary,Native,10.5,small
Anthophora abrupta,Anthophora,A. abrupta,Above Ground,Generalist,Semi-Social,Native,14.5,large
Andrena nubecula,Andrena,A. nubecula,Below Ground,Generalist,Solitary,Native,7.55,small
